date lat lon z km_lat km_lon
2007-01-01 23.2005485935 121.02685304810001 1.60670189 -1317.2875341294257 -1451.834650812236
2007-01-02 23.2005485621 121.02685305879999 1.6067024799999998 -1317.2875376209463 -1451.8346498381852
2007-01-03 23.2005485686 121.0268531035 1.60669595 -1317.2875368981795 -1451.8346457690095
2007-01-04 23.2005485733 121.02685311260001 1.60671452 -1317.2875363755631 -1451.8346449406088
2007-01-05 23.2005485557 121.02685304209999 1.60673228 -1317.287538332594 -1451.8346513584358
2007-01-06 23.2005485961 121.0268530495 1.60671051 -1317.287533840319 -1451.8346506847902
2007-01-07 23.2005485746 121.0268530306 1.60669459 -1317.2875362310099 -1451.8346524053145
2007-01-08 23.2005485641 121.02685306449999 1.60670104 -1317.2875373985564 -1451.834649319297
2007-01-09 23.2005485789 121.02685307159999 1.60670676 -1317.2875357528715 -1451.8346486729629
2007-01-10 23.2005485813 121.0268530495 1.60670024 -1317.2875354860037 -1451.8346506847902
2007-01-11 23.2005485636 121.0268530315 1.60670045 -1317.2875374541538 -1451.8346523233845
2007-01-12 23.2005485775 121.02685303359999 1.60669883 -1317.2875359085444 -1451.8346521322158
2007-01-13 23.2005485709 121.0268530459 1.60670613 -1317.287536642431 -1451.8346510125095
2007-01-14 23.2005485715 121.02685303499999 1.60670628 -1317.287536575714 -1451.8346520047699
2007-01-15 23.2005485584 121.02685304849999 1.60670504 -1317.2875380323674 -1451.8346507758247
2007-01-16 23.2005485601 121.0268530351 1.6066929 -1317.2875378433362 -1451.8346519956651
2007-01-17 23.2005485821 121.02685306039999 1.6066972499999999 -1317.2875353970476 -1451.8346496925324
2007-01-18 23.2005485611 121.02685302809999 1.6066989900000002 -1317.2875377321413 -1451.8346526328971
2007-01-19 23.2005485799 121.0268530273 1.60670142 -1317.2875356416766 -1451.8346527057222
2007-01-20 23.2005485543 121.0268530502 1.6067067 -1317.2875384882668 -1451.834650621067
2007-01-21 23.200548538 121.0268531287 1.6066994700000001 -1317.2875403007442 -1451.8346434749787
2007-01-22 23.2005485857 121.026853045 1.60670638 -1317.2875349967462 -1451.8346510944393
2007-01-23 23.2005485911 121.02685309309999 1.6067210399999998 -1317.2875343962937 -1451.834646715754
2007-01-24 23.2005485891 121.0268531326 1.60670412 -1317.2875346186836 -1451.8346431199504
2007-01-25 23.2005485868 121.0268530562 1.6067032099999998 -1317.2875348744317 -1451.8346500748698
2007-01-26 23.2005485654 121.02685307159999 1.6066992900000001 -1317.2875372540034 -1451.8346486729629
2007-01-27 23.2005485575 121.0268530768 1.60670541 -1317.2875381324432 -1451.8346481995907
2007-01-28 23.2005485916 121.02685306640001 1.60669028 -1317.287534340696 -1451.8346491463326
2007-01-29 23.2005485576 121.026853064 1.6067073600000001 -1317.2875381213235 -1451.834649364813
2007-01-30 23.2005485845 121.02685304869999 1.6067056 -1317.2875351301798 -1451.8346507576177
2007-01-31 23.2005485519 121.02685306480001 1.6067047 -1317.2875387551348 -1451.8346492919852
2007-02-01 23.2005485936 121.02685303460001 1.60669747 -1317.2875341183062 -1451.8346520411812
2007-02-02 23.200548564 121.0268530735 1.60670412 -1317.287537409676 -1451.8346484999984
2007-02-03 23.2005485656 121.0268530784 1.60670514 -1317.2875372317644 -1451.8346480539378
2007-02-04 23.2005485363 121.0268530763 1.60671156 -1317.2875404897754 -1451.8346482451068
2007-02-05 23.2005485385 121.02685308849999 1.6067106000000002 -1317.2875402451464 -1451.8346471345053
2007-02-06 23.2005485664 121.0268530708 1.60670565 -1317.2875371428083 -1451.834648745788
2007-02-07 23.2005485734 121.02685303909999 1.60670468 -1317.287536364444 -1451.8346516315346
2007-02-08 23.2005485383 121.02685307499999 1.60671451 -1317.2875402673856 -1451.8346483634505
2007-02-09 23.2005485783 121.02685297069999 1.60670179 -1317.2875358195884 -1451.8346578581902
2007-02-10 23.2005485281 121.0268530884 1.60669361 -1317.287541401574 -1451.8346471436073
2007-02-11 23.2005485396 121.02685310780001 1.60670592 -1317.2875401228323 -1451.834645377567
2007-02-12 23.2005485483 121.0268530841 1.6067014899999998 -1317.2875391554364 -1451.8346475350497
2007-02-13 23.2005485766 121.0268531051 1.60669755 -1317.28753600862 -1451.8346456233567
2007-02-14 23.2005485875 121.0268530896 1.6067060100000001 -1317.2875347965953 -1451.8346470343686
2007-02-15 23.2005485871 121.02685309169999 1.60669613 -1317.2875348410735 -1451.8346468431996
2007-02-16 23.200548572 121.0268531605 1.60671444 -1317.2875365201166 -1451.83464058013
2007-02-17 23.2005484862 121.0268531257 1.60670227 -1317.2875460606415 -1451.8346437480775
2007-02-18 23.2005485274 121.02685290229999 1.60670511 -1317.2875414794105 -1451.8346640848458
2007-02-19 23.2005485613 121.02685291680001 1.60670563 -1317.2875377099024 -1451.8346627648662
2007-02-20 23.2005485974 121.026852894 1.60669425 -1317.2875336957654 -1451.8346648404188
2007-02-21 23.200548599 121.02685292890001 1.6066999599999998 -1317.2875335178535 -1451.834661663367
2007-02-22 23.2005485657 121.0268529912 1.60669644 -1317.2875372206447 -1451.834655992013
2007-02-23 23.2005485446 121.026853101 1.60670292 -1317.2875395668575 -1451.8346459965921
