date lat lon z km_lat km_lon
2015-04-01 24.578825205 121.0863742638 1.12636496 -1164.030167417772 -1446.4162571797815
2015-04-02 24.5788252164 121.08637426850001 1.12639167 -1164.0301661501503 -1446.4162567519254
2015-04-03 24.5788251964 121.0863742786 1.12637265 -1164.0301683740486 -1446.4162558324927
2015-04-04 24.5788252009 121.08637427709999 1.12637671 -1164.0301678736714 -1446.4162559690433
2015-04-05 24.5788252139 121.08637429340001 1.12637571 -1164.0301664281374 -1446.4162544852038
2015-04-06 24.5788252668 121.0863742811 1.12638397 -1164.0301605459258 -1446.41625560491
2015-04-07 24.5788252197 121.0863742491 1.12638698 -1164.0301657832067 -1446.4162585179656
2015-04-08 24.5788252172 121.08637425500001 1.12637925 -1164.0301660611942 -1446.4162579808706
2015-04-09 24.5788252005 121.086374272 1.12637896 -1164.0301679181496 -1446.4162564333108
2015-04-10 24.578825188 121.08637427759999 1.1263704600000002 -1164.030169308086 -1446.4162559235274
2015-04-11 24.5788252074 121.08637427330001 1.1263716400000001 -1164.0301671509042 -1446.416256314967
2015-04-12 24.5788251956 121.08637428949999 1.12637214 -1164.0301684630044 -1446.416254840235
2015-04-13 24.5788251782 121.0863742958 1.12636787 -1164.0301703977964 -1446.416254266726
2015-04-14 24.5788251802 121.0863742809 1.12637572 -1164.0301701754065 -1446.416255623117
2015-04-15 24.5788251835 121.08637429550001 1.12637786 -1164.030169808463 -1446.416254294035
2015-04-16 24.5788251854 121.0863742898 1.12637345 -1164.0301695971928 -1446.4162548129234
2015-04-17 24.5788252141 121.08637427849999 1.12638329 -1164.0301664058984 -1446.4162558415976
2015-04-18 24.578825225 121.086374312 1.12639422 -1164.0301651938737 -1446.4162527919914
2015-04-19 24.5788251929 121.0863743479 1.12639361 -1164.030168763231 -1446.4162495239073
2015-04-20 24.5788252231 121.0863743235 1.12638849 -1164.0301654051439 -1446.4162517451127
2015-04-21 24.5788251924 121.0863742816 1.1263740199999999 -1164.0301688188283 -1446.4162555593941
2015-04-22 24.5788252134 121.08637431509999 1.12638059 -1164.030166483735 -1446.4162525097904
2015-04-23 24.5788251859 121.08637431529999 1.1263762099999999 -1164.0301695415951 -1446.4162524915835
2015-04-24 24.5788251867 121.0863742917 1.12637264 -1164.0301694526393 -1446.4162546399614
2015-04-25 24.578825179 121.08637430210001 1.12637362 -1164.0301703088403 -1446.416253693217
2015-04-26 24.5788251674 121.08637430120001 1.1263681300000001 -1164.0301715987014 -1446.416253775147
2015-04-27 24.5788251899 121.0863743008 1.12637643 -1164.0301690968154 -1446.4162538115606
2015-04-28 24.5788251727 121.0863743381 1.1263879300000001 -1164.0301710093684 -1446.4162504160308
2015-04-29 24.5788251978 121.08637431810001 1.12637579 -1164.0301682183756 -1446.4162522366892
2015-04-30 24.57882518 121.08637429699999 1.1263702699999998 -1164.0301701976455 -1446.4162541574872
2015-05-01 24.5788251925 121.08637432169999 1.1263828599999999 -1164.030168807709 -1446.4162519089725
2015-05-02 24.5788251975 121.08637431579999 1.12638102 -1164.0301682517343 -1446.4162524460676
2015-05-03 24.5788251847 121.0863743349 1.12637707 -1164.0301696750291 -1446.4162507073363
2015-05-04 24.5788251801 121.086374345 1.1263679500000001 -1164.0301701865258 -1446.4162497879038
2015-05-05 24.5788251793 121.08637431010001 1.12637875 -1164.0301702754816 -1446.4162529649532
2015-05-06 24.5788251891 121.08637428700001 1.12637286 -1164.0301691857715 -1446.416255067815
2015-05-07 24.5788251739 121.0863743045 1.1263723399999999 -1164.0301708759343 -1446.4162534747393
2015-05-08 24.578825192 121.08637432610001 1.1263916999999999 -1164.0301688633062 -1446.4162515084254
2015-05-09 24.5788251777 121.0863742979 1.1263805400000002 -1164.0301704533936 -1446.4162540755572
2015-05-10 24.578825192 121.0863742924 1.1263708 -1164.0301688633062 -1446.4162545762385
2015-05-11 24.5788251777 121.0863742903 1.12637119 -1164.0301704533936 -1446.4162547674073
2015-05-12 24.5788251921 121.0863743102 1.12637885 -1164.030168852187 -1446.416252955851
2015-05-13 24.5788251784 121.0863742896 1.12636291 -1164.0301703755574 -1446.4162548311301
2015-05-14 24.578825207 121.0863743299 1.12637753 -1164.030167195382 -1446.4162511625016
2015-05-15 24.578825196 121.08637431029999 1.12636618 -1164.0301684185265 -1446.4162529467487
2015-05-16 24.5788252072 121.08637427939999 1.1263708799999999 -1164.0301671731431 -1446.4162557596676
2015-05-17 24.5788251899 121.0863743031 1.12638144 -1164.0301690968154 -1446.416253602185
2015-05-18 24.5788251909 121.08637431759999 1.1263820599999999 -1164.0301689856205 -1446.4162522822078
2015-05-19 24.5788252221 121.08637431369999 1.1263918000000002 -1164.030165516339 -1446.4162526372363
2015-05-20 24.5788251996 121.0863743216 1.12637405 -1164.0301680182247 -1446.4162519180745
2015-05-21 24.5788251757 121.0863743079 1.1263696399999998 -1164.0301706757834 -1446.4162531652266
2015-05-22 24.5788252004 121.08637431490001 1.12637761 -1164.0301679292688 -1446.4162525279949
2015-05-23 24.5788251852 121.08637433000001 1.12638836 -1164.0301696194317 -1446.4162511533968
2015-05-24 24.5788251748 121.0863743306 1.12637098 -1164.0301707758592 -1446.4162510987787
2015-05-25 24.5788252038 121.08637430639999 1.12636554 -1164.030167551206 -1446.4162533017773
2015-05-26 24.5788251626 121.0863743429 1.1263659 -1164.030172132437 -1446.4162499790725
2015-05-27 24.5788251857 121.08637434299999 1.12637838 -1164.030169563834 -1446.4162499699703
2015-05-28 24.5788251678 121.0863743523 1.12638192 -1164.0301715542232 -1446.4162491233626
2015-05-29 24.5788251896 121.08637432450001 1.12637115 -1164.030169130174 -1446.4162516540782
2015-05-30 24.5788251737 121.08637431950001 1.1263743099999999 -1164.0301708981733 -1446.4162521092435
2015-05-31 24.5788251681 121.0863743468 1.12638102 -1164.030171520865 -1446.416249624044
2015-06-01 24.5788251943 121.086374315 1.1263738 -1164.0301686075582 -1446.4162525188926
2015-06-02 24.5788251823 121.08637432270001 1.12636564 -1164.030169941897 -1446.4162518179378
2015-06-03 24.5788251754 121.08637431209999 1.12636646 -1164.030170709142 -1446.4162527828892
2015-06-04 24.5788251517 121.08637431 1.12636416 -1164.030173344462 -1446.416252974058
2015-06-05 24.5788251622 121.08637429679999 1.12635641 -1164.030172176915 -1446.416254175694
2015-06-09 24.5788251614 121.0863743011 1.12637148 -1164.030172265871 -1446.4162537842517
2015-06-10 24.5788251723 121.0863743136 1.1263760999999999 -1164.0301710538463 -1446.4162526463385
2015-06-11 24.5788251593 121.08637429449999 1.12637265 -1164.0301724993803 -1446.4162543850698
2015-06-12 24.5788251768 121.0863743216 1.12636575 -1164.0301705534694 -1446.4162519180745
2015-06-13 24.5788251988 121.08637431380001 1.12636823 -1164.0301681071808 -1446.4162526281316
2015-06-14 24.5788251768 121.08637431880001 1.12637039 -1164.0301705534694 -1446.4162521729663
2015-06-15 24.5788251792 121.0863743415 1.12636575 -1164.0301702866013 -1446.4162501065184
2015-06-16 24.5788251831 121.0863743452 1.1263679299999998 -1164.030169852941 -1446.4162497696968
2015-06-17 24.5788251755 121.08637428130001 1.1263657 -1164.0301706980224 -1446.4162555867033
2015-06-18 24.578825191 121.0863743322 1.12636749 -1164.030168974501 -1446.4162509531259
2015-06-19 24.5788251852 121.08637432590001 1.12637213 -1164.0301696194317 -1446.4162515266323
2015-06-20 24.578825185 121.0863743777 1.12636281 -1164.0301696416707 -1446.4162468111251
2015-06-21 24.5788251583 121.0863743775 1.1263731600000002 -1164.0301726105754 -1446.416246829332
2015-06-22 24.5788251684 121.0863743715 1.12637384 -1164.0301714875063 -1446.4162473755293
2015-06-23 24.578825193 121.08637432590001 1.1263762 -1164.0301687521112 -1446.4162515266323
2015-06-24 24.5788251692 121.08637435879999 1.12637202 -1164.0301713985505 -1446.4162485316494
2015-06-25 24.5788251647 121.08637431470001 1.1263697400000001 -1164.0301718989278 -1446.4162525462018
2015-06-26 24.5788251673 121.0863743345 1.1263601699999999 -1164.0301716098209 -1446.4162507437502
2015-06-27 24.5788251673 121.0863743303 1.12636548 -1164.0301716098209 -1446.4162511260877
2015-06-28 24.5788251967 121.08637431849999 1.1263587 -1164.0301683406901 -1446.416252200278
2015-06-29 24.5788251993 121.08637431470001 1.12637146 -1164.0301680515834 -1446.4162525462018
2015-06-30 24.5788251594 121.0863743415 1.1263656499999999 -1164.0301724882609 -1446.4162501065184
2015-07-01 24.5788251803 121.08637434799999 1.12637079 -1164.0301701642868 -1446.416249514805
2015-07-02 24.5788251697 121.08637435509999 1.12635419 -1164.030171342953 -1446.416248868471
2015-07-03 24.5788251809 121.08637435080001 1.12636076 -1164.03017009757 -1446.4162492599107
2015-07-04 24.5788251572 121.08637438740001 1.12636024 -1164.0301727328897 -1446.4162459281038
2015-07-05 24.5788251964 121.08637435349999 1.12635872 -1164.0301683740486 -1446.4162490141239
2015-07-06 24.5788251758 121.0863743537 1.1263737699999998 -1164.0301706646642 -1446.416248995917
2015-07-07 24.5788251881 121.0863743612 1.1263690899999999 -1164.0301692969663 -1446.416248313169
2015-07-08 24.5788251623 121.08637434229999 1.12636963 -1164.0301721657956 -1446.4162500336931
2015-07-09 24.5788251774 121.08637431829999 1.12635968 -1164.0301704867522 -1446.416252218485
2015-07-10 24.5788251943 121.08637434600001 1.1263692900000002 -1164.0301686075582 -1446.416249696869
2015-07-11 24.5788251875 121.0863743493 1.1263862999999998 -1164.0301693636832 -1446.4162493964614
2015-07-12 24.5788251848 121.08637432820001 1.12635805 -1164.0301696639099 -1446.4162513172566
2015-07-13 24.5788251976 121.08637435509999 1.12636544 -1164.0301682406146 -1446.416248868471
2015-07-14 24.5788251722 121.08637439220001 1.12636294 -1164.030171064966 -1446.4162454911454
2015-07-15 24.578825177 121.08637439380001 1.12637133 -1164.0301705312302 -1446.4162453454926
2015-07-16 24.5788251735 121.08637435029999 1.1263606099999999 -1164.0301709204123 -1446.4162493054293
2015-07-17 24.5788251922 121.08637436800001 1.12637916 -1164.0301688410673 -1446.416247694144
2015-07-18 24.5788251947 121.08637436949999 1.1263713 -1164.03016856308 -1446.4162475575959
2015-07-19 24.5788251995 121.0863743877 1.12636782 -1164.0301680293444 -1446.4162459007946
2015-07-20 24.5788251962 121.0863743868 1.12637089 -1164.0301683962875 -1446.4162459827244
2015-07-21 24.5788252161 121.08637441510001 1.1263817200000001 -1164.0301661835085 -1446.4162434064904
2015-07-22 24.5788252371 121.0863743743 1.1263829699999999 -1164.0301638484152 -1446.4162471206375
2015-07-23 24.5788251638 121.08637434299999 1.1263587099999999 -1164.030171999003 -1446.4162499699703
2015-07-24 24.5788251756 121.08637437819999 1.12636749 -1164.0301706869031 -1446.4162467656092
2015-07-25 24.5788251867 121.08637437549999 1.1263569299999998 -1164.0301694526393 -1446.4162470113986
2015-07-26 24.5788251759 121.0863743717 1.12635528 -1164.0301706535445 -1446.4162473573224
2015-07-27 24.5788251746 121.08637439270001 1.12636176 -1164.0301707980982 -1446.4162454456293
2015-07-28 24.5788251807 121.0863743868 1.12636663 -1164.0301701198089 -1446.4162459827244
2015-07-29 24.5788251711 121.08637436000001 1.12636626 -1164.0301711872803 -1446.416248422408
2015-07-30 24.5788251803 121.08637437479999 1.12635371 -1164.0301701642868 -1446.4162470751216
2015-07-31 24.5788251641 121.086374387 1.12635643 -1164.0301719656447 -1446.4162459645177
2015-08-01 24.5788251965 121.0863743859 1.1263625099999999 -1164.0301683629293 -1446.4162460646544
2015-08-02 24.5788251695 121.0863743759 1.12637681 -1164.030171365192 -1446.416246974985
2015-08-03 24.5788251697 121.08637438209999 1.1263675499999999 -1164.030171342953 -1446.4162464105807
2015-08-04 24.5788251842 121.0863743818 1.12636839 -1164.0301697306268 -1446.4162464378896
2015-08-05 24.578825168 121.08637440339999 1.12635218 -1164.0301715319843 -1446.4162444715785
2015-08-06 24.5788251908 121.0863743392 1.1263641500000001 -1164.0301689967403 -1446.416250315894
2015-08-07 24.5788251717 121.0863744015 1.12634621 -1164.0301711205632 -1446.4162446445403
2015-08-08 24.5788251392 121.086374337 1.12635196 -1164.0301747343985 -1446.4162505161676
2015-08-09 24.5788251618 121.08637439430001 1.12636026 -1164.0301722213928 -1446.4162452999765
2015-08-10 24.5788251901 121.08637437070001 1.12634912 -1164.0301690745764 -1446.4162474483544
2015-08-11 24.5788251552 121.0863743852 1.12635727 -1164.0301729552796 -1446.4162461283772
